dataset,model,paradigm,task,group_col,group_value,n,mae,mse,median_ae,p90_ae,bias,n_cases,group_value_label
BPI17,saprpt,tabular_fm,RT,prefix_length_bucket,>50,130,0.2705728973476932,0.2571412988116026,0.0756756067276001,0.8944920223206284,-0.2085679020016239,122,
BPI17,tabpfn3,tabular_fm,RT,prefix_length_bucket,1,43,1.512797383894754,2.966420653559887,1.385473370552063,2.608795809745789,-1.512797383894754,43,
BPI17,tabpfn3,tabular_fm,RT,prefix_length_bucket,11-20,545,1.3924166289531976,2.814415274232711,1.21022567152977,2.5906774759292603,-1.3894728767256244,525,
BPI17,tabpfn3,tabular_fm,RT,prefix_length_bucket,2,49,1.6400988210415544,3.4262405683793054,1.4807879328727722,2.7087344169616703,-1.6400988210415544,49,
BPI17,tabpfn3,tabular_fm,RT,prefix_length_bucket,21-50,836,0.5211182988516688,0.7133598844257564,0.2320027649402618,1.5630003213882446,-0.5036478961283747,769,
BPI17,tabpfn3,tabular_fm,RT,prefix_length_bucket,3,44,1.5422099402745848,3.130526112583743,1.5132962316274643,2.75153676867485,-1.5295795372327452,44,
BPI17,tabpfn3,tabular_fm,RT,prefix_length_bucket,4-5,105,1.6998661456496589,3.660735291271472,1.659127116203308,2.860677576065064,-1.6998661456496589,104,
BPI17,tabpfn3,tabular_fm,RT,prefix_length_bucket,6-10,248,1.591298496522746,3.340082645542347,1.475371703505516,2.616856151819229,-1.5901123463064588,245,
BPI17,tabpfn3,tabular_fm,RT,prefix_length_bucket,>50,130,0.2859788658670508,0.2887429521875669,0.0487942695617675,0.958628129027784,-0.2534978639764281,122,
BPI17,transformer,sequence,RT,prefix_length_bucket,1,43,1.0349591670254634,1.6794261299793916,0.8460263907909393,2.1761680483818053,-0.9778271913961616,43,
BPI17,transformer,sequence,RT,prefix_length_bucket,11-20,545,0.9912791026920644,1.6231047430497978,0.7724113762378693,2.07205913066864,-0.9262031112180236,525,
BPI17,transformer,sequence,RT,prefix_length_bucket,2,49,1.0089345196528094,1.649605698525832,0.7107527442276478,1.9605711966753008,-0.9495023311096796,49,
BPI17,transformer,sequence,RT,prefix_length_bucket,21-50,836,0.5030057602687338,0.6059865509937342,0.2303436398506164,1.4016380906105042,-0.4783688631372718,769,
BPI17,transformer,sequence,RT,prefix_length_bucket,3,44,0.9135250851977617,1.2815182733375865,0.8579455064609647,1.8502705611288548,-0.7692456082652577,44,
BPI17,transformer,sequence,RT,prefix_length_bucket,4-5,105,1.1639864052557165,1.967082673283963,1.1993839740753174,2.1649387776851654,-1.029608274778972,104,
BPI17,transformer,sequence,RT,prefix_length_bucket,6-10,248,1.0509898308933887,1.7348928112760655,0.8546372056007385,2.062730187177658,-0.9410036729394404,245,
BPI17,transformer,sequence,RT,prefix_length_bucket,>50,130,0.3886747344325368,0.3355808323303471,0.2294222116470337,1.018204074166716,-0.3790408457844303,122,
BPI20PrepaidTravelCosts,gemma-2-2b,llm,RT,prefix_length_bucket,1,211,1.4695348195478948,3.766956423784823,1.0643625259399414,3.3970409631729126,-1.4014496173962323,211,
BPI20PrepaidTravelCosts,gemma-2-2b,llm,RT,prefix_length_bucket,11-20,94,0.760092090141583,0.6594163209135547,0.7318103611469269,1.0443569753319024,-0.755701606934692,64,
BPI20PrepaidTravelCosts,gemma-2-2b,llm,RT,prefix_length_bucket,2,219,1.427856643586066,3.783182076936422,1.0105637377128005,3.598359371721745,-1.3588548522762456,219,
BPI20PrepaidTravelCosts,gemma-2-2b,llm,RT,prefix_length_bucket,3,203,1.5126113739877416,3.959644278068005,1.1002824902534485,3.440677946805955,-1.4816402727824045,203,
BPI20PrepaidTravelCosts,gemma-2-2b,llm,RT,prefix_length_bucket,4-5,445,1.0182096283411963,1.7195065974222254,0.8172883093357086,2.0076190471649187,-1.0128941655441532,356,
BPI20PrepaidTravelCosts,gemma-2-2b,llm,RT,prefix_length_bucket,6-10,828,0.8114559528494371,0.7888169495540869,0.7736354172229767,1.137656676769257,-0.8105609126384528,451,
BPI20PrepaidTravelCosts,llama32-1b,llm,RT,prefix_length_bucket,1,211,1.0997734956291032,2.016929463447505,0.925584614276886,2.4212676286697388,-0.4632478345602627,211,
BPI20PrepaidTravelCosts,llama32-1b,llm,RT,prefix_length_bucket,11-20,94,0.2400413301000569,0.1280183726206193,0.1779036819934845,0.4352938506752252,0.0554683058265041,64,
BPI20PrepaidTravelCosts,llama32-1b,llm,RT,prefix_length_bucket,2,219,1.0571907777677436,2.057117430566686,0.775174617767334,2.5526532769203185,-0.4812316879393936,219,
BPI20PrepaidTravelCosts,llama32-1b,llm,RT,prefix_length_bucket,3,203,1.0982544709253927,2.3498405920616827,0.7345784902572632,2.7530828014016167,-0.8301128889594612,203,
BPI20PrepaidTravelCosts,llama32-1b,llm,RT,prefix_length_bucket,4-5,445,0.5787417195025789,0.9149438663564804,0.3192387521266937,1.3804260015487675,-0.3792577050270492,356,
BPI20PrepaidTravelCosts,llama32-1b,llm,RT,prefix_length_bucket,6-10,828,0.3068839086376154,0.2150775270911597,0.2063508927822113,0.6717707965523008,-0.0182480204707446,451,
BPI20PrepaidTravelCosts,rnn,sequence,RT,prefix_length_bucket,1,211,1.1020940874705436,2.027328926054525,0.8650259533897042,2.439105033874512,-0.4315775680141656,211,
BPI20PrepaidTravelCosts,rnn,sequence,RT,prefix_length_bucket,11-20,94,0.3344045491626565,0.1489400554291902,0.3143900409340858,0.6171305651543663,0.2747753111303764,64,
BPI20PrepaidTravelCosts,rnn,sequence,RT,prefix_length_bucket,2,219,1.1242068345894634,2.400702922488322,0.7850587069988251,2.873037338256836,-0.5987560181778437,219,
BPI20PrepaidTravelCosts,rnn,sequence,RT,prefix_length_bucket,3,203,1.1206356760876006,2.461512305452055,0.7338878363370895,2.816380274295807,-0.7251743528294593,203,
BPI20PrepaidTravelCosts,rnn,sequence,RT,prefix_length_bucket,4-5,445,0.622740223682407,0.8304614304623937,0.4465837627649307,1.209841936826706,-0.0382292298622314,356,
BPI20PrepaidTravelCosts,rnn,sequence,RT,prefix_length_bucket,6-10,828,0.4007503733951806,0.249820624800018,0.3663470428436994,0.6954118534922601,0.2812803268949597,451,
BPI20PrepaidTravelCosts,saprpt,tabular_fm,RT,prefix_length_bucket,1,211,1.164982758478981,2.406393866586137,0.8865607976913452,2.7587451934814453,-0.7745496843074188,211,
BPI20PrepaidTravelCosts,saprpt,tabular_fm,RT,prefix_length_bucket,11-20,94,0.098026743317221,0.0500226457604686,0.0197106599807739,0.2272978782653808,-0.0227556301954578,64,
BPI20PrepaidTravelCosts,saprpt,tabular_fm,RT,prefix_length_bucket,2,219,1.1070632413410413,2.24763337344522,0.8914933353662491,2.5372649669647225,-0.5192419238109859,219,
BPI20PrepaidTravelCosts,saprpt,tabular_fm,RT,prefix_length_bucket,3,203,1.0918615667167777,2.2992095652071844,0.7501246929168701,2.7536438465118422,-0.7247177423780848,203,
BPI20PrepaidTravelCosts,saprpt,tabular_fm,RT,prefix_length_bucket,4-5,445,0.5164123463381626,0.8010330228294386,0.2436017766594886,1.2132892131805422,-0.2586395791878275,356,
BPI20PrepaidTravelCosts,saprpt,tabular_fm,RT,prefix_length_bucket,6-10,828,0.1790801287810925,0.1285403332804337,0.0750380158424377,0.4314736844971776,-0.0089104636358592,451,
BPI20PrepaidTravelCosts,tabpfn3,tabular_fm,RT,prefix_length_bucket,1,211,1.121518096316085,2.1453857228961013,0.9037082195281982,2.6159539818763733,-0.55494684434796,211,
BPI20PrepaidTravelCosts,tabpfn3,tabular_fm,RT,prefix_length_bucket,11-20,94,0.1011510800936834,0.0489269781652284,0.0136187672615051,0.313934451341629,0.0119803916078377,64,
BPI20PrepaidTravelCosts,tabpfn3,tabular_fm,RT,prefix_length_bucket,2,219,1.096795033242303,2.2318134499428863,0.8333328366279602,2.610821437835693,-0.4771503080067317,219,
BPI20PrepaidTravelCosts,tabpfn3,tabular_fm,RT,prefix_length_bucket,3,203,1.069172306527645,2.1760588005742423,0.7218482047319412,2.751451659202577,-0.6510421782915522,203,
BPI20PrepaidTravelCosts,tabpfn3,tabular_fm,RT,prefix_length_bucket,4-5,445,0.5198635895286551,0.7718132948651939,0.2797186486423015,1.2614612460136414,-0.180558394716027,356,
BPI20PrepaidTravelCosts,tabpfn3,tabular_fm,RT,prefix_length_bucket,6-10,828,0.1792905555089265,0.1215870479079343,0.0733389109373092,0.4169458225369454,0.0240001013372565,451,
BPI20PrepaidTravelCosts,transformer,sequence,RT,prefix_length_bucket,1,211,1.0714147907816385,1.924763598407728,0.808673083782196,2.3624024987220764,-0.4213907455780512,211,
BPI20PrepaidTravelCosts,transformer,sequence,RT,prefix_length_bucket,11-20,94,0.1469576718246049,0.068334981415491,0.0888839662075042,0.252001466602087,-0.0506288657717882,64,
